Date	Close	High	Low	Open	Volume
	ZM	ZM	ZM	ZM	ZM
2019-04-18	62.00	66.00	60.32	65.00	25764700
2019-04-22	65.70	68.90	59.94	61.00	9949700
2019-04-23	69.00	74.17	65.55	66.87	6786500
2019-04-24	63.20	71.50	63.16	71.40	4973500
2019-04-25	65.00	66.85	62.60	64.74	3863300
2019-04-26	66.22	66.99	63.60	66.12	1527400
2019-04-29	68.17	68.50	64.75	66.53	1822300
2019-04-30	72.47	72.52	66.67	68.40	4113100
2019-05-01	72.76	76.95	70.82	72.72	3301900
2019-05-02	75.50	75.89	69.69	72.75	2525300
2019-05-03	79.18	80.25	75.00	75.00	2590300
2019-05-06	78.24	80.79	74.50	75.01	2051800
2019-05-07	73.33	78.05	73.25	77.85	1975200
2019-05-08	77.68	78.50	74.03	74.61	2265500
2019-05-09	75.21	76.99	74.00	76.85	1348200
2019-05-10	79.63	79.74	74.77	75.79	1555100
2019-05-13	72.54	77.39	70.60	77.39	2873200
2019-05-14	73.14	76.89	73.11	74.12	1950400
2019-05-15	79.76	80.00	72.21	73.40	2426500
2019-05-16	83.40	87.55	79.25	80.12	4580700
2019-05-17	89.98	90.28	81.88	82.25	3442500
2019-05-20	84.67	91.46	83.27	90.10	3666800
2019-05-21	85.44	89.70	84.50	86.63	2576000
2019-05-22	82.43	85.70	82.00	84.63	1596400
2019-05-23	78.76	81.50	77.26	81.25	2856000
2019-05-24	76.25	81.25	74.20	80.48	2946800
2019-05-28	77.77	79.39	76.80	76.80	1641300
2019-05-29	75.77	77.93	73.58	77.00	1512100
2019-05-30	80.42	80.97	76.60	76.68	1996000
2019-05-31	79.73	83.17	77.78	78.77	1594300
2019-06-03	75.90	81.94	75.65	80.00	1570500
2019-06-04	78.74	78.88	76.62	78.20	1134900
2019-06-05	78.04	80.60	76.24	80.14	1295800
2019-06-06	79.43	79.75	77.03	77.40	3024000
2019-06-07	94.05	98.89	92.50	93.66	9487800
2019-06-10	102.00	105.99	96.00	98.51	4852800
2019-06-11	94.87	101.20	91.57	101.00	4372400
2019-06-12	102.77	104.18	94.00	94.60	3156900
2019-06-13	100.95	105.17	98.55	105.10	3189100
2019-06-14	100.29	104.57	99.25	100.47	1889300
2019-06-17	98.11	102.45	97.00	101.00	2128500
2019-06-18	99.64	102.00	97.51	100.39	2272400
2019-06-19	102.39	104.44	98.63	100.49	2592700
2019-06-20	102.30	107.34	101.62	105.01	2460700
2019-06-21	100.47	101.53	97.82	101.42	2972500
2019-06-24	89.41	101.50	88.88	100.85	6011200
2019-06-25	85.03	91.50	84.63	89.43	3744500
2019-06-26	86.33	89.08	84.61	87.92	2680000
2019-06-27	90.27	92.33	87.80	89.70	3019500
2019-06-28	88.79	92.20	87.25	91.76	3228300
2019-07-01	86.86	87.79	83.10	85.13	5306600
2019-07-02	85.13	86.85	84.00	86.27	1866000
2019-07-03	90.45	90.60	84.51	85.45	2706100
2019-07-05	91.88	91.97	88.00	90.14	2582700
2019-07-08	90.76	92.79	89.89	91.44	1793300
2019-07-09	90.93	91.27	89.10	90.27	1557400
2019-07-10	92.72	93.45	91.55	91.76	2059300
2019-07-11	91.40	93.20	90.45	92.90	1784600
2019-07-12	93.30	94.93	91.37	93.01	2689700
